Step,energy,type,position
0,100,predator,"(0, 0)"
1,101,predator,"(0, 1)"
2,101,predator,"(0, 1)"
3,101,predator,"(0, 1)"
4,101,predator,"(0, 1)"
5,101,predator,"(0, 1)"
6,101,predator,"(1, 1)"
7,102,predator,"(9, 99)"
8,102,predator,"(9, 99)"
9,102,predator,"(9, 99)"
10,102,predator,"(9, 99)"
11,102,predator,"(9, 99)"
12,102,predator,"(9, 99)"
13,102,predator,"(8, 99)"
14,102,predator,"(8, 99)"
15,103,predator,"(13, 89)"
16,103,predator,"(13, 89)"
17,103,predator,"(13, 89)"
18,103,predator,"(13, 89)"
19,103,predator,"(13, 89)"
20,104,predator,"(5, 89)"
21,104,predator,"(5, 89)"
22,104,predator,"(5, 89)"
23,104,predator,"(5, 89)"
24,104,predator,"(5, 89)"
25,105,predator,"(15, 81)"
26,105,predator,"(15, 81)"
27,105,predator,"(15, 81)"
28,105,predator,"(15, 81)"
29,105,predator,"(15, 81)"
30,105,predator,"(16, 81)"
31,105,predator,"(16, 81)"
32,106,predator,"(26, 74)"
33,106,predator,"(26, 74)"
34,106,predator,"(26, 74)"
35,106,predator,"(26, 74)"
36,106,predator,"(26, 74)"
37,107,predator,"(21, 71)"
38,107,predator,"(21, 71)"
39,107,predator,"(21, 71)"
40,107,predator,"(21, 71)"
41,107,predator,"(21, 71)"
42,107,predator,"(21, 70)"
43,107,predator,"(21, 70)"
44,107,predator,"(20, 71)"
45,107,predator,"(20, 71)"
46,107,predator,"(20, 71)"
47,108,predator,"(30, 72)"
48,108,predator,"(30, 72)"
49,108,predator,"(30, 72)"
50,108,predator,"(30, 72)"
51,108,predator,"(30, 72)"
52,109,predator,"(39, 75)"
53,109,predator,"(39, 75)"
54,109,predator,"(39, 75)"
55,109,predator,"(39, 75)"
56,109,predator,"(39, 75)"
57,109,predator,"(43, 66)"
58,109,predator,"(44, 66)"
59,109,predator,"(43, 66)"
60,109,predator,"(43, 66)"
61,109,predator,"(43, 67)"
62,109,predator,"(43, 68)"
63,109,predator,"(44, 67)"
64,109,predator,"(44, 68)"
65,109,predator,"(44, 68)"
66,109,predator,"(44, 67)"
67,109,predator,"(44, 68)"
68,109,predator,"(44, 67)"
69,109,predator,"(43, 68)"
70,109,predator,"(43, 67)"
71,109,predator,"(42, 66)"
72,109,predator,"(43, 67)"
73,109,predator,"(44, 67)"
74,109,predator,"(45, 66)"
75,109,predator,"(45, 66)"
76,110,predator,"(55, 74)"
77,110,predator,"(55, 74)"
78,110,predator,"(55, 74)"
79,110,predator,"(55, 74)"
80,110,predator,"(55, 74)"
81,110,predator,"(60, 84)"
82,110,predator,"(61, 84)"
83,111,predator,"(66, 94)"
84,111,predator,"(66, 94)"
85,111,predator,"(66, 94)"
86,111,predator,"(66, 94)"
87,111,predator,"(66, 94)"
88,111,predator,"(65, 95)"
89,111,predator,"(64, 96)"
90,111,predator,"(65, 96)"
91,111,predator,"(66, 96)"
92,111,predator,"(66, 96)"
93,111,predator,"(66, 97)"
94,111,predator,"(66, 97)"
95,111,predator,"(66, 97)"
96,111,predator,"(67, 96)"
97,111,predator,"(67, 97)"
98,111,predator,"(67, 97)"
99,111,predator,"(67, 97)"
